Data,CDI
17/10/2005,0.000702524
18/10/2005,0.000702857
19/10/2005,0.000702857
20/10/2005,0.000687191
21/10/2005,0.000686857
24/10/2005,0.000686523
25/10/2005,0.000686857
26/10/2005,0.000686189
27/10/2005,0.000686523
28/10/2005,0.000686189
31/10/2005,0.000687859
1/11/2005,0.000689194
3/11/2005,0.000688193
4/11/2005,0.00068886
7/11/2005,0.00068886
8/11/2005,0.000688527
9/11/2005,0.00068886
10/11/2005,0.00068886
11/11/2005,0.000688527
14/11/2005,0.00068886
16/11/2005,0.000687859
17/11/2005,0.000687859
18/11/2005,0.000687859
21/11/2005,0.000686857
22/11/2005,0.000686857
23/11/2005,0.000685855
24/11/2005,0.000669786
25/11/2005,0.000670122
28/11/2005,0.000670122
29/11/2005,0.000670792
30/11/2005,0.000671463
1/12/2005,0.000671463
2/12/2005,0.000671128
5/12/2005,0.000671463
6/12/2005,0.000671128
7/12/2005,0.000671128
8/12/2005,0.000670122
9/12/2005,0.000670122
12/12/2005,0.000670122
13/12/2005,0.000669786
14/12/2005,0.000669115
15/12/2005,0.000653653
16/12/2005,0.000653989
19/12/2005,0.000654663
20/12/2005,0.000654999
21/12/2005,0.000655336
22/12/2005,0.000655336
23/12/2005,0.000655336
26/12/2005,0.000654999
27/12/2005,0.000654999
28/12/2005,0.000654663
29/12/2005,0.000656346
30/12/2005,0.000656683
2/1/2006,0.000654999
3/1/2006,0.000654999
4/1/2006,0.000654663
5/1/2006,0.000654326
6/1/2006,0.000654326
9/1/2006,0.000653989
10/1/2006,0.000653316
11/1/2006,0.000653316
12/1/2006,0.000653653
13/01/2006,0.000653316
16/01/2006,0.000653316
17/01/2006,0.000652979
18/01/2006,0.000652979
19/01/2006,0.000626956
20/01/2006,0.000627295
23/01/2006,0.000628651
24/01/2006,0.000629668
25/01/2006,0.000630345
26/01/2006,0.000632716
27/01/2006,0.000630007
30/01/2006,0.000627634
31/01/2006,0.000626617
1/2/2006,0.000628312
2/2/2006,0.000629329
3/2/2006,0.000629329
6/2/2006,0.000629329
7/2/2006,0.000629329
8/2/2006,0.000629329
9/2/2006,0.000629329
10/2/2006,0.00062899
13/02/2006,0.000628651
14/02/2006,0.00062899
15/02/2006,0.000630684
16/02/2006,0.000630345
17/02/2006,0.000630684
20/02/2006,0.000630684
21/02/2006,0.000630684
22/02/2006,0.000631362
23/02/2006,0.000631362
24/02/2006,0.000633055
1/3/2006,0.000633055
2/3/2006,0.000633055
3/3/2006,0.000632716
6/3/2006,0.000632378
7/3/2006,0.000632039
8/3/2006,0.000631362
9/3/2006,0.000606561
10/3/2006,0.000605879
13/03/2006,0.000605879
14/03/2006,0.000605538
15/03/2006,0.000605197
16/03/2006,0.000604856
17/03/2006,0.000604856
20/03/2006,0.000604856
21/03/2006,0.000604856
22/03/2006,0.000605197
