Date,Open,High,Low,Close,Volume,Adj Close
2016-09-19,57083.00,58025.00,57083.00,57350.00,2691100,57350.00
2016-09-16,57909.00,57909.00,56794.00,57080.00,3710700,57080.00
2016-09-15,57068.00,58127.00,57068.00,57909.00,2812000,57909.00
2016-09-14,56812.00,57342.00,56694.00,57059.00,3329100,57059.00
2016-09-13,58580.00,58580.00,56459.00,56821.00,4377800,56821.00
2016-09-12,57998.00,58595.00,57511.00,58586.00,3529200,58586.00
2016-09-09,60220.00,60220.00,57961.00,58000.00,3992900,58000.00
2016-09-08,60129.00,60310.00,59743.00,60232.00,3843900,60232.00
2016-09-06,59566.00,60129.00,59182.00,60129.00,3150500,60129.00
2016-09-05,59616.00,59986.00,59402.00,59566.00,000,59566.00
2016-09-02,58241.00,59655.00,58241.00,59616.00,3771500,59616.00
2016-09-01,57901.00,58417.00,57638.00,58236.00,3687600,58236.00
2016-08-31,58580.00,58910.00,57506.00,57901.00,4077700,57901.00
2016-08-30,58610.00,58882.00,58293.00,58575.00,2729400,58575.00
2016-08-29,57717.00,58957.00,57642.00,58610.00,2759700,58610.00
2016-08-26,57725.00,58655.00,57259.00,57716.00,3611600,57716.00
2016-08-25,57718.00,58124.00,57639.00,57722.00,2974200,57722.00
2016-08-24,58019.00,58332.00,57456.00,57718.00,3221400,57718.00
2016-08-23,57781.00,58596.00,57781.00,58020.00,3635900,58020.00
2016-08-22,59080.00,59099.00,57631.00,57781.00,3133500,57781.00
2016-08-19,59158.00,59240.00,58599.00,59099.00,2661700,59099.00
2016-08-18,59324.00,59418.00,58829.00,59166.00,3608700,59166.00
2016-08-17,58847.00,59324.00,58081.00,59324.00,4179800,59324.00
2016-08-16,59144.00,59187.00,58589.00,58855.00,3874400,58855.00
2016-08-15,58316.00,59324.00,58316.00,59146.00,3487200,59146.00
2016-08-12,58300.00,58753.00,57987.00,58298.00,3811800,58298.00
2016-08-11,56925.00,58308.00,56923.00,58300.00,3905700,58300.00
2016-08-10,57690.00,57953.00,56735.00,56920.00,3510600,56920.00
2016-08-09,57637.00,58095.00,57615.00,57689.00,3049900,57689.00
2016-08-08,57655.00,57917.00,57504.00,57635.00,3153800,57635.00
2016-08-05,57609.00,57951.00,57290.00,57661.00,3354600,57661.00
2016-08-04,57076.00,58030.00,57076.00,57594.00,4192000,57594.00
2016-08-03,56157.00,57101.00,55788.00,57077.00,4058600,57077.00
2016-08-02,56756.00,56974.00,55696.00,56162.00,3857700,56162.00
2016-08-01,57309.00,57729.00,56676.00,56756.00,4088000,56756.00
2016-07-29,56664.00,57474.00,56340.00,57308.00,4416500,57308.00
2016-07-28,56853.00,56853.00,55993.00,56667.00,000,56667.00
2016-07-27,56788.00,57380.00,56788.00,56853.00,3795700,56853.00
2016-07-26,56876.00,57309.00,56708.00,56783.00,3351800,56783.00
2016-07-25,57006.00,57205.00,56398.00,56873.00,3126900,56873.00
2016-07-22,56641.00,57171.00,56518.00,57002.00,2912000,57002.00
2016-07-21,56578.00,56906.00,56233.00,56641.00,3486900,56641.00
2016-07-20,56699.00,56927.00,56221.00,56578.00,3865800,56578.00
2016-07-19,56487.00,56698.00,56246.00,56698.00,3794000,56698.00
2016-07-18,55573.00,56509.00,55355.00,56484.00,3984500,56484.00
2016-07-15,55482.00,55649.00,55233.00,55578.00,3684500,55578.00
2016-07-14,54601.00,55634.00,54601.00,55481.00,4408500,55481.00
2016-07-13,54256.00,54647.00,53733.00,54598.00,4037100,54598.00
2016-07-12,53961.00,54746.00,53961.00,54256.00,3878700,54256.00
2016-07-11,53143.00,54021.00,53143.00,53960.00,3206300,53960.00
2016-07-08,52020.00,53166.00,52020.00,53141.00,2995500,53141.00
2016-07-07,51902.00,52719.00,51888.00,52015.00,3712200,52015.00
2016-07-06,51842.00,51909.00,50825.00,51902.00,3277000,51902.00
2016-07-05,52565.00,52565.00,51510.00,51842.00,3121400,51842.00
2016-07-04,52241.00,52918.00,52241.00,52569.00,000,52569.00
2016-07-01,51540.00,52346.00,51411.00,52233.00,4116100,52233.00
2016-06-30,51001.00,51619.00,50585.00,51527.00,4377800,51527.00
2016-06-29,50009.00,51229.00,50009.00,51002.00,3970100,51002.00
2016-06-28,49252.00,50301.00,49252.00,50007.00,3406400,50007.00
2016-06-27,50106.00,50162.00,48954.00,49246.00,3228500,49246.00
2016-06-24,51561.00,51561.00,49544.00,50105.00,4139100,50105.00
2016-06-23,50161.00,51673.00,50161.00,51560.00,3166800,51560.00
2016-06-22,50835.00,51239.00,50060.00,50156.00,3632900,50156.00
2016-06-21,50326.00,50870.00,49678.00,50838.00,3349200,50838.00
2016-06-20,49539.00,50782.00,49539.00,50329.00,3487000,50329.00
2016-06-17,49409.00,50191.00,49405.00,49534.00,4248900,49534.00
2016-06-16,48901.00,49412.00,48067.00,49412.00,3887200,49412.00
2016-06-15,48649.00,49415.00,48324.00,48915.00,5009800,48915.00
2016-06-14,49662.00,49894.00,48216.00,48648.00,3885000,48648.00
2016-06-13,49419.00,49764.00,48804.00,49661.00,2630500,49661.00
2016-06-10,51117.00,51117.00,49421.00,49422.00,2977400,49422.00
2016-06-09,51633.00,51633.00,50832.00,51118.00,3213200,51118.00
2016-06-08,50490.00,51812.00,50490.00,51629.00,4206400,51629.00
2016-06-07,50432.00,50641.00,50005.00,50488.00,2958800,50488.00
2016-06-06,50627.00,50924.00,50097.00,50432.00,000,50432.00
2016-06-03,49888.00,50634.00,49888.00,50619.00,3329400,50619.00
2016-06-02,49008.00,49906.00,48781.00,49887.00,3525800,49887.00
2016-06-01,48468.00,49057.00,48200.00,49013.00,3290000,49013.00
